acousticness,age,artist_popularity,danceability,duration_ms,energy,followers,genre_popularity,id,instrumentalness,key,length,loudness,mode,name,tempo,time_signature,track_popularity,valence
0.7503,11098.96,62.0,0.6759,121346.92,0.232,7157,44.92,37i9dQZF1DX4dWEvmDfGoP,0.0195,4.32,50,-13.7628,0.94,This is: Raffi,114.5711,3.84,30.7,0.6779
0.1794,10378.86,74.0,0.7215,294292.2464,0.5624,406163,89.58,37i9dQZF1DX6JzJ8vAK836,0.0736,4.8406,69,-11.3691,0.7826,This Is Prince,118.6414,3.942,47.74,0.6118
0.3641,603.44,76.16,0.5684,210021.4062,0.5918,90254,99.94,37i9dQZF1DWXqcBHh7a68E,0.0013,5.8125,32,-7.0434,0.375,This Is: Rag'n'Bone Man,104.7017,3.8438,55.41,0.4074
0.0076,6983.55,71.0,0.3991,270563.7451,0.8044,48297,99.36,37i9dQZF1DX024QaIPhrkq,0.1923,5.5098,51,-7.9736,0.7647,This Is: Soundgarden,126.9928,3.7451,27.8,0.4227
0.1787,7494.21,60.0,0.553,224949.4186,0.7766,11478,99.36,37i9dQZF1DX1zj9CzXszqD,0.0529,4.5581,43,-7.1933,0.9302,This Is: Status Quo,134.0941,4.0,25.74,0.7119
0.2607,13453.82,77.42,0.603,262193.66,0.5601,81880,100.0,37i9dQZF1DWWYIyS8LLUDj,0.0019,6.2,50,-11.0509,0.6,This Is: Stevie Wonder,115.5884,4.0,48.28,0.6294
0.4609,13808.32,71.68,0.4667,177945.54,0.4785,46503,98.54,37i9dQZF1DXaZan2kzvaVc,0.0489,5.92,50,-9.5967,0.78,This Is The Beach Boys,117.495,3.7,44.2,0.5285
0.3657,15874.38,81.0,0.5466,255112.18,0.7284,264905,99.36,37i9dQZF1DX5COO9vTaRpO,0.1234,4.8,50,-7.0645,0.82,This Is: The Rolling Stones,124.9794,3.98,51.98,0.6528
0.2316,1044.4,92.73,0.6212,252202.7111,0.5824,990949,100.0,37i9dQZF1DX6bnzK9KPvrz,0.0099,5.0889,45,-7.4493,0.2667,This Is The Weeknd,124.3781,3.9333,69.84,0.3516
0.0993,1041.29,79.47,0.6002,202541.1724,0.7214,76539,95.4,37i9dQZF1DXctzlWgrxNLn,0.0001,5.3621,58,-5.9892,0.8103,This Is:  Thomas Rhett,117.9574,3.9138,55.43,0.6507
0.1793,1469.78,81.78,0.619,237565.4634,0.5819,100392,100.0,37i9dQZF1DX5xFQkXoZxdM,0.0,4.8537,41,-6.8599,0.4878,This Is: Trey Songz,123.312,4.0488,60.71,0.3855
0.5287,13168.59,76.01,0.525,300781.6667,0.4454,140060,99.36,37i9dQZF1DX8f6VxHEcGCN,0.0219,4.8267,75,-11.561,0.8667,This Is: Bob Dylan,125.6163,3.84,49.04,0.4968
0.3397,2890.72,71.0,0.6031,308302.2326,0.6046,59495,87.83,37i9dQZF1DWZais6SIaMts,0.6364,5.186,43,-9.9192,0.2326,This Is: Bonobo,112.9565,3.8837,45.88,0.2922
0.1708,4171.36,80.27,0.7241,220866.4,0.7536,196373,100.0,37i9dQZF1DWXcA2XXbXQ3d,0.0032,5.8222,45,-5.2298,0.5111,This Is: Britney Spears,116.794,4.0,55.09,0.683
0.1779,9726.27,76.0,0.5098,276715.1538,0.6897,75997,99.36,37i9dQZF1DX9qkL85stcHs,0.0257,5.5385,52,-9.0991,0.8654,This is: Bruce Springsteen,121.3356,4.0,46.31,0.5921
0.2944,7608.75,66.11,0.5464,221515.0833,0.6366,42699,99.73,37i9dQZF1DX3w9f3pg1Dyc,0.0004,4.3333,36,-9.0996,0.6944,This is: Cher,129.2621,3.9167,39.89,0.5174
0.6637,6462.23,68.0,0.64,173340.0333,0.6877,35335,99.36,37i9dQZF1DX0LonJ1uN97e,0.0445,4.2167,60,-8.0446,0.8667,This Is Chuck Berry,128.8148,3.8833,31.77,0.8277
0.1656,4878.41,82.69,0.7247,286491.4138,0.695,202110,89.62,37i9dQZF1DWZAkrucRF6Gq,0.5027,5.5172,29,-8.5018,0.4828,This Is Daft Punk,121.9522,4.0,58.72,0.5241
0.3231,13089.49,76.04,0.5459,261141.1333,0.5353,193037,99.36,37i9dQZF1DX9AUVnnnNUND,0.0535,5.1556,45,-9.8996,0.8889,This Is: Eagles,117.1007,3.9333,54.2,0.6123
0.3297,12632.17,75.0,0.6153,294913.3333,0.6122,97117,91.13,37i9dQZF1DX3yvjXSVJwJV,0.0064,6.9167,24,-10.5784,0.6667,"This Is Earth, Wind & Fire",115.4329,3.9583,49.71,0.6838
0.2653,11224.93,79.07,0.5409,284647.878,0.6209,177216,99.4,37i9dQZF1DX7VulteLVOkq,0.0354,4.5122,41,-8.9103,0.8049,This Is: Elton John,129.051,3.9512,43.22,0.5527
0.3364,1474.31,73.19,0.5666,231679.3077,0.6319,17411,99.66,37i9dQZF1DXdRITMyVwc9y,0.0048,3.8846,26,-6.6016,0.6154,This is: Emeli Sandé,109.4569,4.0,43.04,0.3386
0.1297,2277.35,80.0,0.6518,210509.375,0.6979,291779,92.25,37i9dQZF1DWSxQLa5KoDYW,0.1358,5.575,40,-6.8228,0.6,This Is: Gorillaz,123.974,3.95,60.35,0.5899
0.1182,1138.54,100.0,0.7494,238588.96,0.5492,1740890,99.93,37i9dQZF1DX7QOv5kjbU68,0.0028,5.0,50,-8.0368,0.52,This Is Drake,125.9557,3.98,74.7,0.3685
0.4203,10092.91,61.71,0.55,383236.9455,0.5215,46827,98.5,37i9dQZF1DX8N0xov3IdrH,0.1521,4.4364,55,-11.2929,0.8364,This is: Jerry Garcia,117.7364,3.7455,25.82,0.6296
0.7551,13145.05,65.0,0.5387,265293.2923,0.3067,31988,97.3,37i9dQZF1DX94esvuBEVw6,0.0288,4.2923,65,-12.8231,0.8462,This Is Joni Mitchell,111.1229,3.7538,39.49,0.4256
0.2007,840.27,82.24,0.6157,215713.4634,0.7393,385904,100.0,37i9dQZF1DWY24WaVcCqqH,0.0,5.6829,41,-4.4397,0.6098,This Is: Little Mix,125.2991,4.0,42.73,0.5705
0.5883,923.32,70.0,0.554,244732.52,0.479,68600,98.07,37i9dQZF1DX7FLzW9rNIxr,0.0407,5.36,25,-8.8273,0.52,This Is: London Grammar,117.4952,4.04,32.56,0.1913
